| 044 | 007 | 0.123 | 0.123 | 000 |
| 014 | 007 | 0.212 | 0.335 | 000 |
| 060 | 005 | 0.219 | 0.554 | 002 |
| 064 | 005 | 0.004 | 0.004 | 000 |
| 040 | 001 | 0.029 | 0.011 | 000 |
| 020 | 005 | 0.039 | 0.011 | 005 |
| 068 | 005 | 0.034 | 0.004 | 002 |
| 028 | 005 | 0.045 | 0.019 | 002 |
| 066 | 005 | 0.056 | 0.046 | 002 |
| 096 | 002 | 0.042 | 0.004 | 000 |
| 092 | 002 | 0.050 | 0.016 | 000 |
| 074 | 002 | 0.080 | 0.023 | 013 |
| 030 | 003 | 0.024 | 0.000 | 001 |
| 098 | 002 | 0.042 | 0.000 | 005 |
| 086 | 004 | 0.066 | 0.000 | 011 |
| 018 | 002 | 0.092 | 0.000 | 006 |
| 034 | 001 | 0.120 | 0.000 | 006 |
| 062 | 004 | 0.031 | 0.022 | 001 |
| 046 | 006 | 0.006 | 0.006 | 000 |
| 012 | 009 | 0.018 | 0.007 | 002 |
| 056 | 007 | 0.066 | 0.011 | 009 |
| 103 | 008 | 0.106 | 0.017 | 012 |
| 050 | 007 | 0.025 | 0.000 | 002 |
| 100 | 007 | 0.028 | 0.003 | 002 |
| 112 | 000 | 0.075 | 0.003 | 006 |
| 120 | 003 | 0.031 | 0.000 | 005 |
| 101 | 004 | 0.055 | 0.000 | 006 |
| 080 | 004 | 0.069 | 0.013 | 006 |
| 016 | 004 | 0.030 | 0.011 | 004 |
| 110 | 006 | 0.075 | 0.011 | 007 |
| 094 | 009 | 0.050 | 0.000 | 003 |
| 048 | 001 | 0.055 | 0.000 | 004 |
| 106 | 003 | 0.061 | 0.000 | 005 |
| 088 | 008 | 0.030 | -0.000 | 001 |
| 111 | 005 | 0.061 | 0.002 | 003 |
| 052 | 003 | 0.091 | 0.006 | 008 |
| 036 | 007 | 0.030 | 0.000 | 001 |
| 058 | 006 | 0.099 | 0.000 | 007 |
| 102 | 006 | 0.005 | 0.005 | 000 |
| 114 | 001 | 0.025 | 0.013 | 001 |
| 084 | 003 | 0.017 | 0.000 | 002 |
| 006 | 003 | 0.043 | 0.015 | 002 |
| 104 | 008 | 0.019 | 0.000 | 001 |
| 054 | 003 | 0.077 | 0.000 | 007 |
| 078 | 008 | 0.089 | 0.000 | 008 |
| 004 | 002 | 0.091 | 0.000 | 008 |
| 090 | 002 | 0.049 | 0.000 | 005 |
| 136 | 005 | 0.084 | 0.007 | 006 |
| 022 | 005 | 0.022 | 0.022 | 000 |
| 008 | 005 | 0.032 | 0.054 | 000 |
| 129 | 004 | 0.037 | 0.059 | 000 |
| 076 | 007 | 0.058 | 0.059 | 002 |
| 038 | 001 | 0.028 | 0.008 | 001 |
| 139 | 003 | 0.080 | 0.032 | 003 |
| 153 | 001 | 0.106 | 0.032 | 004 |
| 072 | 009 | 0.033 | 0.000 | 003 |
| 082 | 005 | 0.051 | 0.006 | 004 |
| 032 | 001 | 0.005 | 0.005 | 000 |
| 160 | 007 | 0.020 | 0.005 | 002 |
| 113 | 008 | 0.006 | 0.000 | 001 |
| 180 | 001 | 0.037 | 0.000 | 003 |
| 140 | 001 | 0.048 | 0.011 | 003 |
| 122 | 004 | 0.013 | 0.013 | 000 |
| 150 | 009 | 0.013 | 0.013 | 000 |
| 149 | 009 | 0.040 | 0.013 | 003 |
| 190 | 006 | 0.032 | 0.016 | 000 |
| 132 | 004 | 0.032 | 0.000 | 001 |
| 176 | 005 | 0.084 | 0.002 | 005 |
| 142 | 009 | 0.010 | 0.004 | 003 |
| 070 | 001 | 0.025 | 0.025 | 000 |
| 002 | 003 | 0.046 | 0.025 | 000 |
| 213 | 004 | 0.093 | 0.006 | 004 |
| 116 | 004 | 0.016 | 0.003 | 000 |
| 178 | 002 | 0.046 | 0.006 | 003 |
| 024 | 002 | 0.048 | 0.014 | 003 |
| 148 | 001 | 0.016 | 0.000 | 001 |
| 212 | 003 | 0.028 | 0.000 | 003 |
| 185 | 006 | 0.012 | 0.007 | 001 |
| 042 | 006 | 0.039 | 0.040 | 001 |
| 128 | 005 | 0.047 | -0.000 | 004 |
| 191 | 000 | 0.074 | 0.008 | 005 |
| 145 | 000 | 0.074 | 0.016 | 005 |
| 168 | 001 | 0.047 | 0.000 | 000 |
| 026 | 001 | 0.047 | 0.000 | 000 |
| 220 | 002 | 0.039 | 0.003 | 001 |
| 226 | 006 | 0.038 | 0.011 | 002 |
| 123 | 007 | 0.028 | 0.017 | 002 |
| 154 | 002 | 0.021 | 0.013 | 001 |
| 202 | 003 | 0.032 | 0.018 | 001 |
| 218 | 008 | 0.073 | 0.037 | 002 |
| 225 | 009 | 0.012 | 0.000 | 001 |
| 234 | 007 | 0.025 | 0.009 | 001 |
| 193 | 007 | 0.026 | 0.018 | 001 |
| 207 | 009 | 0.015 | 0.012 | 001 |
| 108 | 009 | 0.016 | 0.024 | 001 |
| 230 | 000 | 0.027 | 0.035 | 001 |
| 221 | 009 | 0.005 | 0.005 | 000 |
| 240 | 000 | 0.018 | 0.013 | 000 |
| 151 | 000 | 0.022 | 0.024 | 000 |
| 255 | 002 | 0.007 | 0.007 | 000 |
| 245 | 000 | 0.044 | 0.009 | 001 |
| 243 | 009 | 0.086 | 0.010 | 003 |
| 201 | 004 | 0.003 | 0.003 | 000 |
| 258 | 005 | 0.030 | 0.009 | 002 |
| 253 | 001 | 0.044 | 0.001 | 002 |
| 155 | 002 | 0.009 | 0.002 | 001 |
| 259 | 000 | 0.050 | 0.002 | 001 |
| 262 | 003 | 0.001 | 0.001 | 000 |
| 196 | 004 | 0.081 | 0.000 | 002 |
| 267 | 004 | 0.082 | 0.001 | 002 |
| 166 | 004 | 0.005 | 0.005 | 000 |
| 265 | 006 | 0.005 | 0.005 | 000 |
| 264 | 006 | 0.017 | 0.023 | 000 |
| 144 | 003 | 0.037 | 0.023 | 000 |
| 279 | 003 | 0.038 | 0.023 | 000 |
| 251 | 006 | 0.000 | 0.000 | 000 |
| 121 | 005 | 0.041 | 0.007 | 001 |
| 109 | 005 | 0.053 | 0.012 | 001 |
| 161 | 007 | 0.023 | 0.023 | 000 |
| 268 | 007 | 0.032 | 0.055 | 000 |
| 278 | 004 | 0.047 | 0.067 | 000 |
| 277 | 002 | 0.050 | 0.027 | 002 |
| 305 | 005 | 0.003 | 0.000 | 001 |
| 288 | 001 | 0.034 | 0.034 | 000 |
| 287 | 008 | 0.000 | 0.000 | 000 |
| 283 | 003 | 0.068 | 0.027 | 000 |
| 306 | 004 | 0.026 | 0.026 | 000 |
| 285 | 005 | 0.050 | 0.043 | 001 |
| 291 | 006 | 0.016 | 0.003 | 005 |
| 167 | 004 | 0.027 | 0.003 | 006 |
| 289 | 008 | 0.009 | 0.005 | 000 |
| 248 | 004 | 0.064 | 0.024 | 001 |
| 284 | 004 | 0.064 | 0.044 | 001 |
| 257 | 007 | 0.077 | 0.055 | 001 |
| 210 | 002 | 0.029 | 0.018 | 001 |
| 345 | 002 | 0.016 | 0.005 | 001 |
| 310 | 004 | 0.073 | 0.012 | 002 |
| 179 | 009 | 0.008 | 0.008 | 000 |
| 312 | 000 | 0.056 | 0.031 | 002 |
| 314 | 009 | 0.057 | 0.014 | 002 |
| 172 | 002 | 0.024 | 0.015 | 000 |
| 170 | 000 | 0.060 | 0.013 | 004 |
| 361 | 007 | 0.055 | 0.000 | 002 |
| 358 | 007 | 0.052 | 0.002 | 004 |
| 329 | 003 | 0.010 | 0.010 | 000 |
| 181 | 003 | 0.013 | 0.023 | 000 |
| 321 | 005 | 0.013 | -0.000 | 001 |
| 368 | 008 | 0.013 | -0.000 | 004 |
| 169 | 002 | 0.006 | 0.006 | 000 |
| 182 | 005 | 0.028 | 0.006 | 002 |
| 328 | 008 | 0.046 | 0.006 | 002 |
| 282 | 001 | 0.032 | 0.000 | 004 |
| 367 | 005 | 0.049 | 0.006 | 004 |
| 366 | 008 | 0.024 | -0.000 | 003 |
| 327 | 000 | 0.028 | 0.018 | 003 |
| 347 | 000 | 0.031 | 0.038 | 003 |
| 340 | 004 | 0.006 | 0.006 | 000 |
| 387 | 008 | 0.026 | 0.009 | 003 |
| 323 | 002 | 0.008 | -0.000 | 001 |
| 390 | 003 | 0.019 | 0.000 | 002 |
| 118 | 004 | 0.050 | 0.032 | 004 |
| 402 | 000 | 0.013 | 0.000 | 004 |
| 352 | 003 | 0.005 | 0.005 | 000 |
| 346 | 005 | 0.055 | 0.018 | 005 |
| 405 | 008 | 0.019 | 0.000 | 001 |
| 318 | 008 | 0.019 | 0.000 | 001 |
| 119 | 000 | 0.065 | 0.005 | 003 |
| 195 | 000 | 0.029 | 0.000 | 003 |
| 351 | 000 | 0.000 | 0.000 | 000 |
| 343 | 002 | 0.061 | 0.018 | 002 |
| 417 | 005 | 0.001 | 0.001 | 000 |
| 126 | 001 | 0.055 | 0.000 | 003 |
| 344 | 009 | 0.006 | -0.000 | 002 |
| 408 | 000 | 0.056 | 0.000 | 004 |
| 443 | 006 | 0.087 | 0.006 | 005 |
| 375 | 003 | 0.015 | 0.015 | 000 |
| 354 | 003 | 0.020 | 0.035 | 000 |
| 194 | 009 | 0.055 | 0.035 | 002 |
| 397 | 007 | 0.027 | 0.000 | 003 |
| 349 | 007 | 0.034 | 0.007 | 003 |
| 381 | 002 | 0.003 | 0.000 | 001 |
| 450 | 002 | 0.003 | 0.000 | 001 |
| 124 | 002 | 0.003 | 0.000 | 001 |
| 360 | 001 | 0.027 | 0.000 | 002 |
| 469 | 006 | 0.006 | 0.006 | 000 |
| 133 | 002 | 0.036 | 0.018 | 003 |
| 363 | 005 | 0.018 | 0.017 | 000 |
| 127 | 000 | 0.026 | 0.017 | 000 |
| 315 | 004 | 0.006 | 0.006 | 000 |
| 125 | 006 | 0.023 | 0.006 | 000 |
| 429 | 006 | 0.067 | 0.050 | 000 |
| 357 | 001 | 0.014 | 0.014 | 000 |
| 461 | 000 | 0.007 | 0.007 | 000 |
| 339 | 003 | 0.044 | 0.008 | 005 |
| 435 | 003 | 0.050 | 0.015 | 005 |
| 356 | 002 | 0.034 | 0.000 | 003 |
| 374 | 002 | 0.052 | 0.018 | 003 |
| 418 | 009 | 0.005 | 0.005 | 000 |
| 475 | 003 | 0.024 | 0.014 | 001 |
| 330 | 008 | 0.017 | 0.008 | 001 |
| 404 | 008 | 0.021 | 0.020 | 001 |
| 514 | 000 | 0.059 | 0.007 | 003 |
| 501 | 008 | 0.006 | 0.006 | 000 |
| 508 | 002 | 0.019 | 0.011 | 000 |
